Date,dji,hsi,n225,aord,sp500,sp500_Price,label
2017-02-24T00:00:00.000+0000,0.000238667,-0.002694629,-0.001975633,-0.003408777,0.000648076,2367.340088,1
2017-02-27T00:00:00.000+0000,0.000326919,-0.000737236,-0.00398354,-0.000984249,0.00044188,2369.75,1
2017-02-28T00:00:00.000+0000,-0.000525521,-0.003358791,0.000261749,-0.000963846,-0.001121221,2363.639893,0
2017-03-01T00:00:00.000+0000,0.006283584,0.000653669,0.006192118,-0.000762067,0.005898245,2395.959961,1
2017-03-02T00:00:00.000+0000,-0.002321688,-0.000885326,0.003818361,0.005239422,-0.002552399,2381.919922,0
2017-03-03T00:00:00.000+0000,5.67E-05,-0.003221339,-0.002127994,-0.00339317,0.000218776,2383.120117,1
2017-03-06T00:00:00.000+0000,-0.001063402,0.000802446,-0.002012921,0.000983976,-0.001425625,2375.310059,0
2017-03-07T00:00:00.000+0000,-0.000613503,0.001557799,-0.000784854,0.001004194,-0.001267109,2368.389893,0
2017-03-08T00:00:00.000+0000,-0.001435075,0.001851969,-0.002028032,-0.000179679,-0.000993157,2362.97998,0
2017-03-09T00:00:00.000+0000,5.12E-05,-0.005156596,0.001453574,-0.001425147,0.000347251,2364.870117,1
2017-03-10T00:00:00.000+0000,0.000931607,0.001238373,0.006382991,0.002300432,0.001417251,2372.600098,1
2017-03-13T00:00:00.000+0000,-0.000446928,0.004782953,0.000645063,-0.001242368,0.000159197,2373.469971,1
2017-03-14T00:00:00.000+0000,-0.000918401,-3.14E-05,-0.000536737,0.000262239,-0.001469978,2365.449951,0
2017-03-15T00:00:00.000+0000,0.002343207,-0.000640206,-0.000711931,0.001166923,0.003621964,2385.26001,1
2017-03-16T00:00:00.000+0000,-0.000322446,0.008950289,0.000282964,0.00102965,-0.000707047,2381.379883,0
2017-03-17T00:00:00.000+0000,-0.000413686,0.000386954,-0.00152237,0.000990039,-0.000571175,2378.25,0
2017-03-21T00:00:00.000+0000,-0.005151302,0.005029911,-0.001464286,-0.001586648,-0.006296189,2344.02002,0
2017-03-22T00:00:00.000+0000,-0.000140998,-0.004842719,-0.009352458,-0.006579491,0.000819993,2348.449951,1
2017-03-23T00:00:00.000+0000,-9.92E-05,0.000130143,0.001000791,0.001663676,-0.000460714,2345.959961,0
2017-03-24T00:00:00.000+0000,-0.001260341,0.000545394,0.004014081,0.00316602,-0.000366698,2343.97998,0
2017-03-27T00:00:00.000+0000,-0.000965533,-0.002944155,-0.006289218,-0.000517309,-0.000443027,2341.590088,0
2017-03-28T00:00:00.000+0000,0.003169268,0.002723006,0.004942028,0.005308684,0.003137912,2358.570068,1
2017-03-29T00:00:00.000+0000,-0.000885786,0.000823032,0.000330326,0.003711679,0.000471095,2361.129883,1
2017-03-30T00:00:00.000+0000,0.001451642,-0.001622564,-0.003500172,0.001547554,0.001272835,2368.060059,1
2017-03-31T00:00:00.000+0000,-0.001369657,-0.003399904,-0.003521748,-0.002054863,-0.000980461,2362.719971,0
2017-04-03T00:00:00.000+0000,-0.000273522,0.002691451,0.001695592,0.000433827,-0.000713752,2358.840088,0
2017-04-05T00:00:00.000+0000,-4.33E-05,0.002486781,-0.002799199,0.000455368,-0.00108581,2352.949951,0
2017-04-06T00:00:00.000+0000,0.000311154,-0.002267729,-0.006126616,-0.00136761,0.000837168,2357.48999,1
2017-04-07T00:00:00.000+0000,-0.000143989,-0.000114878,0.0015751,0.000390154,-0.000359367,2355.540039,0
2017-04-10T00:00:00.000+0000,4.04E-05,-9.17E-05,0.003089488,0.003393301,0.000298556,2357.159912,1
2017-04-11T00:00:00.000+0000,-0.000141272,-0.003120762,-0.001156979,0.00114467,-0.000623173,2353.780029,0
2017-04-12T00:00:00.000+0000,-0.001251848,0.004038428,-0.004546913,0.000312965,-0.001636003,2344.929932,0
2017-04-13T00:00:00.000+0000,-0.002933237,-0.000926966,-0.002954139,-0.003139985,-0.002969715,2328.949951,0
2017-04-18T00:00:00.000+0000,0.001484429,-0.006076936,-0.000194484,-0.004212387,0.002461956,2342.189941,1
2017-04-19T00:00:00.000+0000,-0.002521006,-0.001794614,0.000320779,-0.002136521,-0.000746042,2338.169922,0
2017-04-20T00:00:00.000+0000,0.003692418,0.00419215,-4.03E-05,0.001076982,0.003269738,2355.840088,1
2017-04-21T00:00:00.000+0000,-0.000653687,-0.00027017,0.004460282,0.002308365,-0.00132012,2348.689941,0
2017-04-24T00:00:00.000+0000,0.004544253,0.001756973,0.005910058,0.001112799,0.004682449,2374.149902,1
2017-04-26T00:00:00.000+0000,0.004395097,0.007826213,0.00941216,0.002648855,0.00242614,2387.449951,1
2017-04-27T00:00:00.000+0000,0.000129186,0.002116102,-0.000846486,0.000555614,0.000240064,2388.77002,1
2017-04-28T00:00:00.000+0000,-0.000845766,-0.001468086,-0.001245413,0.000233742,-0.000831665,2384.199951,0
2017-05-02T00:00:00.000+0000,0.00019451,0.001426769,0.005596076,0.001734397,0.001267764,2391.169922,1
2017-05-08T00:00:00.000+0000,0.001291405,-0.002083965,0.009935643,-0.00538613,0.001488574,2399.379883,1
2017-05-09T00:00:00.000+0000,-0.00075506,0.005463007,-0.001151874,-0.001719119,-0.000445488,2396.919922,0
